tensor(2.8678, grad_fn=<DivBackward0>)
tensor(3.3418, grad_fn=<DivBackward0>)
tensor(2.6693, grad_fn=<DivBackward0>)
tensor(3.8805, grad_fn=<DivBackward0>)
tensor(3.1766, grad_fn=<DivBackward0>)
tensor(4.5481, grad_fn=<DivBackward0>)
tensor(2.7513, grad_fn=<DivBackward0>)
tensor(3.0205, grad_fn=<DivBackward0>)
tensor(2.9679, grad_fn=<DivBackward0>)
tensor(3.4064, grad_fn=<DivBackward0>)
tensor(2.6529, grad_fn=<DivBackward0>)
tensor(4.0413, grad_fn=<DivBackward0>)
tensor(2.7566, grad_fn=<DivBackward0>)
tensor(4.3793, grad_fn=<DivBackward0>)
tensor(2.7198, grad_fn=<DivBackward0>)
tensor(4.0741, grad_fn=<DivBackward0>)
tensor(2.4212, grad_fn=<DivBackward0>)
tensor(3.7801, grad_fn=<DivBackward0>)
tensor(2.7243, grad_fn=<DivBackward0>)
tensor(3.6510, grad_fn=<DivBackward0>)
tensor(2.2709, grad_fn=<DivBackward0>)
tensor(3.2259, grad_fn=<DivBackward0>)
tensor(2.9626, grad_fn=<DivBackward0>)
tensor(3.6130, grad_fn=<DivBackward0>)
tensor(3.2281, grad_fn=<DivBackward0>)
tensor(3.9279, grad_fn=<DivBackward0>)
tensor(2.5487, grad_fn=<DivBackward0>)
tensor(3.9262, grad_fn=<DivBackward0>)
tensor(2.4592, grad_fn=<DivBackward0>)
tensor(3.3013, grad_fn=<DivBackward0>)
tensor(2.2637, grad_fn=<DivBackward0>)
tensor(3.3101, grad_fn=<DivBackward0>)
tensor(2.4326, grad_fn=<DivBackward0>)
tensor(3.4889, grad_fn=<DivBackward0>)
tensor(2.2544, grad_fn=<DivBackward0>)
tensor(3.1003, grad_fn=<DivBackward0>)
tensor(2.5863, grad_fn=<DivBackward0>)
tensor(2.6228, grad_fn=<DivBackward0>)
tensor(2.4023, grad_fn=<DivBackward0>)
tensor(3.5808, grad_fn=<DivBackward0>)
tensor(2.2756, grad_fn=<DivBackward0>)
tensor(3.1676, grad_fn=<DivBackward0>)
tensor(2.0339, grad_fn=<DivBackward0>)
tensor(3.0941, grad_fn=<DivBackward0>)
tensor(2.0783, grad_fn=<DivBackward0>)
tensor(3.0506, grad_fn=<DivBackward0>)
tensor(2.0493, grad_fn=<DivBackward0>)
tensor(2.8886, grad_fn=<DivBackward0>)
tensor(2.1684, grad_fn=<DivBackward0>)
tensor(3.2412, grad_fn=<DivBackward0>)
tensor(2.3096, grad_fn=<DivBackward0>)
tensor(3.7361, grad_fn=<DivBackward0>)
tensor(2.3551, grad_fn=<DivBackward0>)
tensor(3.5409, grad_fn=<DivBackward0>)
tensor(2.5094, grad_fn=<DivBackward0>)
tensor(3.8185, grad_fn=<DivBackward0>)
tensor(2.2122, grad_fn=<DivBackward0>)
tensor(3.5336, grad_fn=<DivBackward0>)
tensor(2.1570, grad_fn=<DivBackward0>)
tensor(3.0778, grad_fn=<DivBackward0>)
tensor(2.0198, grad_fn=<DivBackward0>)
tensor(2.9914, grad_fn=<DivBackward0>)
tensor(2.3698, grad_fn=<DivBackward0>)
tensor(2.8420, grad_fn=<DivBackward0>)
tensor(2.2051, grad_fn=<DivBackward0>)
tensor(3.2724, grad_fn=<DivBackward0>)
tensor(1.9828, grad_fn=<DivBackward0>)
tensor(2.9001, grad_fn=<DivBackward0>)
tensor(2.0628, grad_fn=<DivBackward0>)
tensor(2.5637, grad_fn=<DivBackward0>)
tensor(2.4184, grad_fn=<DivBackward0>)
tensor(2.8715, grad_fn=<DivBackward0>)
tensor(2.4045, grad_fn=<DivBackward0>)
tensor(6.6666, grad_fn=<DivBackward0>)
tensor(4.8364, grad_fn=<DivBackward0>)
tensor(6.6055, grad_fn=<DivBackward0>)
tensor(4.3385, grad_fn=<DivBackward0>)
tensor(7.5506, grad_fn=<DivBackward0>)
tensor(4.2159, grad_fn=<DivBackward0>)
tensor(6.6832, grad_fn=<DivBackward0>)
